regime,language,task,layer,eval,method,baseline,real,real_delta,random_mean,random_sd,random_mean_delta,z,p,n_random
strong,ko,sycophancy,17,token_prob,gaussian,60.0,49.29,-10.71,58.65599999999999,0.5355205152206806,-1.3440000000000083,-17.489526047644308,0.09090909090909091,10
strong,ko,sycophancy,17,token_prob,permute,60.0,49.29,-10.71,59.334,0.4900158727587868,-0.6659999999999968,-20.497295206892662,0.09090909090909091,10
strong,ko,sycophancy,17,token_prob,ALL,60.0,49.29,-10.71,58.995000000000005,0.6087303438953471,-1.0049999999999955,-15.94301992224736,0.047619047619047616,20
