regime,language,task,layer,eval,method,baseline,real,real_delta,random_mean,random_sd,random_mean_delta,z,p,n_random
strong,es,sycophancy,17,token_prob,gaussian,59.8,54.8,-5.0,59.379999999999995,1.1593101396951548,-0.4200000000000017,-3.9506253272349774,0.09090909090909091,10
strong,es,sycophancy,17,token_prob,permute,59.8,54.8,-5.0,59.28000000000001,1.0368756488176925,-0.5199999999999889,-4.320672401852985,0.09090909090909091,10
strong,es,sycophancy,17,token_prob,ALL,59.8,54.8,-5.0,59.33,1.0716932004027426,-0.46999999999999886,-4.226955996639361,0.047619047619047616,20
