regime,language,task,layer,eval,method,baseline,real,real_delta,random_mean,random_sd,random_mean_delta,z,p,n_random
strong,en,syllogism,20,generation,gaussian,57.82,69.17,11.350000000000001,57.0088,4.106775215015629,-0.8111999999999995,2.961252896319946,0.038461538461538464,25
strong,en,syllogism,20,generation,permute,57.82,69.17,11.350000000000001,57.4344,5.147988344975151,-0.3856000000000037,2.279647740744186,0.07692307692307693,25
strong,en,syllogism,20,generation,ALL,57.82,69.17,11.350000000000001,57.221599999999995,4.6138245501527075,-0.5984000000000052,2.5896953536311953,0.0392156862745098,50
