regime,language,task,layer,eval,method,baseline,real,real_delta,random_mean,random_sd,random_mean_delta,z,p,n_random
corrected,es,sycophancy,17,token_prob,gaussian,59.8,59.4,-0.3999999999999986,59.96,0.34058772731852716,0.1600000000000037,-1.6442166146411807,0.18181818181818182,10
corrected,es,sycophancy,17,token_prob,permute,59.8,59.4,-0.3999999999999986,59.86,0.22705848487901722,0.060000000000002274,-2.025909757325744,0.09090909090909091,10
corrected,es,sycophancy,17,token_prob,ALL,59.8,59.4,-0.3999999999999986,59.910000000000004,0.28635642126552596,0.11000000000000654,-1.780997254212449,0.09523809523809523,20
