lang,layer,norm
en,24,8.8215685
en,25,18.413334
en,26,23.093712
en,27,30.966665
en,28,30.503641
it,24,8.128642
it,25,17.644547
it,26,21.899998
it,27,29.553293
it,28,29.217829
kk,24,6.864645
kk,25,14.804518
kk,26,18.14915
kk,27,24.298067
kk,28,23.915792
zh,24,7.490486
zh,25,16.463802
zh,26,20.672636
zh,27,28.172829
zh,28,28.09614
ko,24,8.316332
ko,25,18.378714
ko,26,23.454954
ko,27,31.696321
ko,28,31.712784
