regime,language,task,layer,eval,method,baseline,real,real_delta,random_mean,random_sd,random_mean_delta,z,p,n_random
corrected,en,sycophancy,17,generation,gaussian,92.93,92.1,-0.8300000000000125,95.524,0.25274493071078624,2.593999999999994,-13.54725489595698,0.16666666666666666,5
corrected,en,sycophancy,17,generation,permute,92.93,92.1,-0.8300000000000125,95.52000000000001,0.3872983346207451,2.5900000000000034,-8.830402029352873,0.16666666666666666,5
corrected,en,sycophancy,17,generation,ALL,92.93,92.1,-0.8300000000000125,95.522,0.30832162139918673,2.5919999999999987,-11.098799962424684,0.09090909090909091,10
strong,en,sycophancy,17,generation,gaussian,92.93,44.44,-48.49000000000001,93.308,2.260026548516634,0.3780000000000001,-21.622754844218296,0.16666666666666666,5
strong,en,sycophancy,17,generation,permute,92.93,44.44,-48.49000000000001,92.69800000000001,1.5444966817704688,-0.23199999999999932,-31.245130254784026,0.16666666666666666,5
strong,en,sycophancy,17,generation,ALL,92.93,44.44,-48.49000000000001,93.00300000000001,1.853015860098822,0.0730000000000075,-26.207546867629148,0.09090909090909091,10
