regime,language,task,layer,eval,method,baseline,real,real_delta,random_mean,random_sd,random_mean_delta,z,p,n_random
corrected,ko,sycophancy,17,token_prob,gaussian,60.0,57.47,-2.530000000000001,59.883,0.33408319165646116,-0.11699999999999733,-7.222751878164824,0.047619047619047616,20
corrected,ko,sycophancy,17,token_prob,permute,60.0,57.47,-2.530000000000001,59.899,0.2828594592447114,-0.10099999999999909,-8.587303413808025,0.047619047619047616,20
corrected,ko,sycophancy,17,token_prob,ALL,60.0,57.47,-2.530000000000001,59.891,0.3056460161354747,-0.10900000000000176,-7.920927714388772,0.024390243902439025,40
