layer,pc1_var,pc2_var
12,0.7384214401245117,0.2615792751312256
13,0.7290592193603516,0.27094122767448425
14,0.6615208387374878,0.33847981691360474
15,0.6301827430725098,0.3698180019855499
16,0.6194576025009155,0.38054320216178894
17,0.6363227367401123,0.36367741227149963
18,0.6595326662063599,0.34046825766563416
19,0.6415368318557739,0.35846248269081116
20,0.6597650051116943,0.3402356803417206
21,0.6790722608566284,0.32092660665512085
22,0.6483506560325623,0.3516492545604706
23,0.6373357176780701,0.3626646101474762
24,0.6360998749732971,0.36390113830566406
25,0.6113808155059814,0.3886193037033081
26,0.5480656623840332,0.45193445682525635
