layer,lang1,lang2,cosine
12,en,it,0.5696606040000916
12,en,kk,0.4231836199760437
12,en,zh,0.7356510162353516
12,en,ko,0.47027450799942017
12,it,kk,0.2981650233268738
12,it,zh,0.6141959428787231
12,it,ko,0.6034289002418518
12,kk,zh,0.3336549699306488
12,kk,ko,0.27869200706481934
12,zh,ko,0.5684795379638672
13,en,it,0.7860499620437622
13,en,kk,0.37559252977371216
13,en,zh,0.8323432803153992
13,en,ko,0.6626218557357788
13,it,kk,0.3425733745098114
13,it,zh,0.786998987197876
13,it,ko,0.735840916633606
13,kk,zh,0.31235748529434204
13,kk,ko,0.25906217098236084
13,zh,ko,0.7334210872650146
14,en,it,0.8480396270751953
14,en,kk,0.3794446587562561
14,en,zh,0.8859810829162598
14,en,ko,0.7411870956420898
14,it,kk,0.367190957069397
14,it,zh,0.8666496872901917
14,it,ko,0.8158316612243652
14,kk,zh,0.34160149097442627
14,kk,ko,0.28677013516426086
14,zh,ko,0.8141424655914307
15,en,it,0.8261586427688599
15,en,kk,0.362388014793396
15,en,zh,0.8664332032203674
15,en,ko,0.7308713793754578
15,it,kk,0.34179916977882385
15,it,zh,0.8837112188339233
15,it,ko,0.8353009223937988
15,kk,zh,0.3304166793823242
15,kk,ko,0.27377796173095703
15,zh,ko,0.8185522556304932
16,en,it,0.8410239219665527
16,en,kk,0.3674066662788391
16,en,zh,0.8691650629043579
16,en,ko,0.7646738290786743
16,it,kk,0.3609866797924042
16,it,zh,0.9023908376693726
16,it,ko,0.8652783632278442
16,kk,zh,0.35695379972457886
16,kk,ko,0.31574782729148865
16,zh,ko,0.8419806957244873
